grid_id,local,visitor,total_local,total_visitor,OR
1472,306,5739,115506,3314402,1.5299803028541732
1475,62,4761,115506,3314402,0.373675088443938
1476,89,3512,115506,3314402,0.7271703080280577
1477,110,3705,115506,3314402,0.8519323519610585
1478,244,4159,115506,3314402,1.6834551243083697
1483,305,5753,115506,3314402,1.5212693077521535
1484,92,2123,115506,3314402,1.2434790454735856
1486,196,5000,115506,3314402,1.1248295188128756
1487,93,4377,115506,3314402,0.6096871473891669
1488,217,4242,115506,3314402,1.467877141981509
1489,6,992,115506,3314402,0.17355623335863574
1493,22,1782,115506,3314402,0.3542546985427298
1494,195,3476,115506,3314402,1.6097390573884975
1497,21,3346,115506,3314402,0.1800918237361576
1498,60,1566,115506,3314402,1.0994111334084715
1499,69,3936,115506,3314402,0.5030308714825499
1500,247,5123,115506,3314402,1.3834811153121989
1504,5,1112,115506,3314402,0.12902261952320643
1505,151,6330,115506,3314402,0.6845006663311418
1508,145,3029,115506,3314402,1.373628733702331
1509,39,2047,115506,3314402,0.5466978957970119
1510,103,3050,115506,3314402,0.9690317868662277
1511,28,1868,115506,3314402,0.4301122357039138
1516,37,1153,115506,3314402,0.9208164193690903
1519,79,3157,115506,3314402,0.7180474551710255
1520,151,4345,115506,3314402,0.9972127083719511
1521,185,3957,115506,3314402,1.3415483087345983
1522,7,995,115506,3314402,0.20187177293841987
1528,84,6536,115506,3314402,0.3687804419958282
1529,73,1626,115506,3314402,1.2882583225603697
1530,320,5625,115506,3314402,1.6324056508848988
1531,42,1999,115506,3314402,0.6028886865644656
1532,9,1066,115506,3314402,0.24226235950999062
1539,86,3563,115506,3314402,0.6926012433479247
1540,132,11638,115506,3314402,0.32545894799955893
1541,228,4517,115506,3314402,1.4483895888171645
1542,168,6211,115506,3314402,0.7761548764723019
1543,45,1609,115506,3314402,0.802522297195929
1544,9,2843,115506,3314402,0.0908377331120823
1546,8,285,115506,3314402,0.8054633145813646
1550,48,5497,115506,3314402,0.25056253737204537
1551,54,1784,115506,3314402,0.8685594458665359
1552,269,7896,115506,3314402,0.9775653022476619
1553,60,4370,115506,3314402,0.39397662126262395
1554,360,5060,115506,3314402,2.0415152192699604
1556,202,10012,115506,3314402,0.5789368135793193
1560,94,2185,115506,3314402,1.2344600799562218
1561,212,6079,115506,3314402,1.000701050070037
1562,232,5579,115506,3314402,1.1932522486135468
1563,313,8371,115506,3314402,1.072920722990542
1564,316,4644,115506,3314402,1.952520082665743
1565,7,1146,115506,3314402,0.17527261262977992
1566,208,3680,115506,3314402,1.621870424197802
1570,21,1843,115506,3314402,0.32695997950145594
1571,62,1552,115506,3314402,1.1463061186092711
1572,269,7519,115506,3314402,1.0265800806686447
1573,6,1486,115506,3314402,0.11585988121922386
1574,273,6894,115506,3314402,1.1362973816181292
1576,374,5267,115506,3314402,2.0375530354382865
1581,49,1420,115506,3314402,0.9901668299409117
1582,236,4635,115506,3314402,1.4610426790383648
1583,72,1555,115506,3314402,1.3286259819300321
1584,243,7432,115506,3314402,0.9382124907718715
1585,87,6752,115506,3314402,0.369732354951217
1586,62,2177,115506,3314402,0.8172104253934721
1587,55,2634,115506,3314402,0.5991665459407217
1591,102,1540,115506,3314402,1.9005534541298916
1592,175,9959,115506,3314402,0.5042233509231042
1593,23,3246,115506,3314402,0.20331993326713046
1594,611,20667,115506,3314402,0.8483291859282063
1595,10,1633,115506,3314402,0.17571727239412804
1596,198,3919,115506,3314402,1.4497414787517988
1600,7,780,115506,3314402,0.25751591547913816
1601,57,1082,115506,3314402,1.511639503855622
1602,38,4705,115506,3314402,0.2317525955610037
1603,231,5469,115506,3314402,1.2120057898030747
1604,326,6307,115506,3314402,1.4831852813888255
1605,150,8387,115506,3314402,0.5131983530814553
1606,16,2097,115506,3314402,0.2189385261379961
1609,62,1152,115506,3314402,1.5443290764597124
1610,26,3025,115506,3314402,0.2466315355804922
1611,240,8518,115506,3314402,0.8084892392193784
1612,416,7969,115506,3314402,1.497925250608084
1613,236,4149,115506,3314402,1.6321843377543557
1614,245,13393,115506,3314402,0.5249148430210164
1617,6,404,115506,3314402,0.4261578799301155
1618,49,1627,115506,3314402,0.8641898577234753
1619,114,11022,115506,3314402,0.29678714265501416
1620,327,5500,115506,3314402,1.7060262182365968
1621,383,6228,115506,3314402,1.7646184188970948
1622,385,6003,115506,3314402,1.8403186363576591
1623,58,4481,115506,3314402,0.3714100811769124
1626,6,564,115506,3314402,0.3052620274676714
