grid_id,local,visitor,total_local,total_visitor,OR
1083,11,2342,39961,3096509,0.363950058394894
1086,27,1686,39961,3096509,1.2409154530649589
1087,17,1837,39961,3096509,0.7170934638953982
1088,18,785,39961,3096509,1.776801234707024
1091,22,1342,39961,3096509,1.2702996076912696
1092,164,7807,39961,3096509,1.6277798482571357
1093,32,4109,39961,3096509,0.6034618725269792
1101,55,7634,39961,3096509,0.5582728823427049
1102,65,8499,39961,3096509,0.5926271260731714
1103,226,46444,39961,3096509,0.3770637841622565
1104,27,1512,39961,3096509,1.3837192155208473
1107,21,7526,39961,3096509,0.21621761858258254
1108,43,2296,39961,3096509,1.4512177138389373
1109,39,2067,39961,3096509,1.4620429447012724
1112,25,5332,39961,3096509,0.3633171233550611
1113,122,5258,39961,3096509,1.797940220699587
1114,219,6523,39961,3096509,2.601553343422914
1123,34,6878,39961,3096509,0.3830475990624735
1124,105,15381,39961,3096509,0.5289817948938679
1125,148,40617,39961,3096509,0.28235135185357807
1126,24,7711,39961,3096509,0.24117736035015153
